farm_identifier,video_name,first_track_id,second_track_id
nz.fol_id.as-7776-0152.a,nz.fol_id.as-7776-0152.a.a.spring_river-2023_01-05_14_30_17,481,391
nz.fol_id.du-9092-0414.a,nz.fol_id.du-9092-0414.a.a.rowmata-2022_12-05_07_00_04,668,621
nz.fol_id.co-9393-2017.a,nz.fol_id.co-9393-2017.a.b.dairy_creek-2022_12-04_13_30_08,720,733
nz.fol_id.se-7682-0440.a,nz.fol_id.se-7682-0440.a.a.nzsf_horizons-2022_12-01_05_00_08,373,398
nz.fol_id.ho-4893-2012.a,nz.fol_id.ho-4893-2012.a.a.pamu_ruapehu-2022_11-16_15_00_07,577,629
nz.fol_id.ho-5572-2007.a,nz.fol_id.ho-5572-2007.a.a.pamu_egmont-2022_07-30_06_30_07,452,432
nz.fol_id.cl-9271-2004.a,nz.fol_id.cl-9271-2004.a.a.pamu_dunns-2022_12-26_15_00_08,449,350
nz.fol_id.du-9092-0414.a,nz.fol_id.du-9092-0414.a.a.rowmata-2022_12-05_07_00_04,658,706
nz.fol_id.hu-7385-0055.a,nz.fol_id.hu-7385-0055.a.a.medstone-2023_01-02_15_00_05,563,609
nz.fol_id.co-9376-2009.a,nz.fol_id.co-9376-2009.a.a.milkwell-2022_09-09_14_00_12,370,323
nz.fol_id.as-7775-0038.a,nz.fol_id.as-7775-0038.a.a.katoa-2022_12-09_05_00_14,777,796
nz.fol_id.co-9376-2009.a,nz.fol_id.co-9376-2009.a.a.milkwell-2022_09-09_05_30_10,353,339
nz.fol_id.as-7776-0152.a,nz.fol_id.as-7776-0152.a.a.spring_river-2023_01-05_14_30_17,481,371
nz.fol_id.wt-9494-0026.a,nz.fol_id.wt-9494-0026.a.a.riverstone-2022_12-21_15_30_24,783,816
nz.fol_id.wt-9494-0026.a,nz.fol_id.wt-9494-0026.a.a.riverstone-2022_12-21_15_30_24,799,863
nz.fol_id.as-7775-0038.a,nz.fol_id.as-7775-0038.a.a.katoa-2022_11-22_05_00_14,509,586
nz.fol_id.du-9092-0414.a,nz.fol_id.du-9092-0414.a.a.rowmata-2022_12-05_07_00_04,703,621
nz.fol_id.ho-5572-2007.b,nz.fol_id.ho-5572-2007.b.a.pamu_tongariro-2023_01-11_15_30_20,145,174
nz.fol_id.wt-7999-0004.a,nz.fol_id.wt-7999-0004.a.a.twizel-2023_01-08_15_30_18,728,805
nz.fol_id.ho-5572-2007.b,nz.fol_id.ho-5572-2007.b.a.pamu_tongariro-2023_01-11_15_30_20,162,174
nz.fol_id.as-7781-2019.a,nz.fol_id.as-7781-2019.a.a.taha-2023_01-03_06_30_05,384,350
nz.fol_id.as-7781-2019.a,nz.fol_id.as-7781-2019.a.a.taha-2023_01-03_06_30_05,447,401
nz.fol_id.as-7775-0260.a,nz.fol_id.as-7775-0260.a.a.staple_homestead-2022_11-16_14_30_11,733,783
nz.fol_id.as-7775-0260.a,nz.fol_id.as-7775-0260.a.a.staple_homestead-2022_08-20_07_00_07,323,274
nz.fol_id.as-7775-0260.a,nz.fol_id.as-7775-0260.a.a.staple_homestead-2022_08-20_07_00_07,323,274
nz.fol_id.hu-7385-0055.a,nz.fol_id.hu-7385-0055.a.a.medstone-2023_01-02_15_00_05,421,640
nz.fol_id.du-9092-0414.a,nz.fol_id.du-9092-0414.a.a.rowmata-2022_12-05_07_00_04,683,640
nz.fol_id.hu-7392-0014.a,nz.fol_id.hu-7392-0014.a.a.darnley-2023_01-10_07_00_29,526,613
nz.fol_id.ho-5572-2007.a,nz.fol_id.ho-5572-2007.a.a.pamu_egmont-2022_07-30_06_30_07,425,432
nz.fol_id.ho-4893-2012.a,nz.fol_id.ho-4893-2012.a.a.pamu_ruapehu-2022_07-31_07_00_06,119,133
nz.fol_id.cl-9271-2004.a,nz.fol_id.cl-9271-2004.a.a.pamu_dunns-2022_12-26_15_00_08,630,523
nz.fol_id.as-7781-2019.a,nz.fol_id.as-7781-2019.a.a.taha-2023_01-03_06_30_05,373,402
nz.fol_id.ho-4893-2012.a,nz.fol_id.ho-4893-2012.a.a.pamu_ruapehu-2022_07-31_07_00_06,143,120
nz.fol_id.as-7781-2019.a,nz.fol_id.as-7781-2019.a.a.taha-2023_01-03_06_30_05,474,350
nz.fol_id.ho-4893-2012.a,nz.fol_id.ho-4893-2012.a.a.pamu_ruapehu-2022_11-16_15_00_07,628,697
nz.fol_id.se-7682-0440.a,nz.fol_id.se-7682-0440.a.a.nzsf_horizons-2023_01-06_15_00_09,393,383
